cve_uaslp,creditos,cve_materia,materia,calificacion,fecha_cal,tipo_examen,semestre
0047001,0,0000,GEOMETRIA Y TRIGONOMETRIA,AC,2010-08-16,RV,2010-2011/I
0047001,8,0042,ALGEBRA B,80,2010-08-16,RV,2010-2011/I
0047001,8,0051,CALCULO A,60,2010-08-16,RV,2010-2011/I
0047001,8,0052,CALCULO B,60,2010-08-16,RV,2010-2011/I
0047001,8,0055,CALCULO E,65,2010-08-16,RV,2010-2011/I
0047001,8,0061,FISICA A,60,2010-08-16,RV,2010-2011/I
0047001,6,0063,FISICA C,60,2010-08-16,RV,2010-2011/I
0047001,8,0071,QUIMICA A,60,2010-08-16,RV,2010-2011/I
0047001,1,1001,SEMINARIO INTEGRADOR I,60,2010-08-16,RV,2010-2011/I
0047001,1,1002,SEMINARIO INTEGRADOR II,80,2010-08-16,RV,2010-2011/I
0047001,5,1100,TECNICAS DEL APRENDIZAJE,80,2010-08-16,RV,2010-2011/I
0047001,3,1102,HUMANIDADES B,60,2010-08-16,RV,2010-2011/I
0047001,6,1130,METODOS NUMERICOS,60,2010-08-16,RV,2010-2011/I
0047001,0,1901,INGLES BASICO I,AC,2010-08-16,RV,2010-2011/I
0047001,0,1902,INGLES BASICO II,AC,2010-08-16,RV,2010-2011/I
0047001,0,1903,INGLES INTERMEDIO I,AC,2010-08-16,RV,2010-2011/I
0047001,0,1904,INGLES INTERMEDIO II,AC,2010-08-16,RV,2010-2011/I
0047001,0,1905,INGLES AVANZADO,AC,2010-08-16,RV,2010-2011/I
0047001,10,6021,QUIMICA DE MATERIALES,70,2010-08-16,RV,2010-2011/I
0047001,6,6023,DINAMISMO I,60,2010-08-16,RV,2010-2011/I
0047001,10,6031,ANALISIS DE MATERIALES,65,2010-08-16,RV,2010-2011/I
0047001,6,6040,INGENIERIA ELECTRICA,60,2010-08-16,RV,2010-2011/I
0047001,8,6041,MECANICA DE FLUIDOS,60,2010-08-16,RV,2010-2011/I
0047001,10,6045,PRINCIPIOS DE ECONOMIA,60,2010-08-16,RV,2010-2011/I
0047001,10,6056,FISICOQUIMICA,75,2010-08-16,RV,2010-2011/I
0047001,10,6060,MATEMATICAS APLICADAS,70,2010-08-16,RV,2010-2011/I
0047001,10,6077,FENOMENOS DE TRANSPORTE,60,2010-08-16,RV,2010-2011/I
0047001,6,6080,CONTROL DE CALIDAD,60,2010-08-16,RV,2010-2011/I
0047001,3,1103,APROVECHAMIENTO DE LOS RECURSOS NACIONALES,70,2010-12-10,EO,2010-2011/I
0047001,3,1134,COMPUTACION,43,2010-12-10,EO,2010-2011/I
0047001,10,6010,ORIGEN DE LOS MATERIALES,90,2010-12-10,EO,2010-2011/I
0047001,10,6012,INTRODUCCION A LOS MATERIALES,90,2010-12-10,EO,2010-2011/I
0047001,0,6013,SEMINARIO DE ORIENTACION,AC,2010-12-10,EO,2010-2011/I
0047001,6,6033,DINAMISMO II,90,2010-12-10,EO,2010-2011/I
0047001,12,6043,MATERIALES DE INGENIERIA I,40,2010-12-10,EO,2010-2011/I
0047001,3,1134,COMPUTACION,30,2011-01-11,ET,2010-2011/I
0047001,12,6043,MATERIALES DE INGENIERIA I,40,2011-01-12,ET,2010-2011/I
0047001,8,0041,ALGEBRA A,75,2011-06-01,EO,2010-2011/II
0047001,1,1104,HUMANIDADES C,90,2011-06-01,EO,2010-2011/II
0047001,3,1134,COMPUTACION,60,2011-06-01,EO,2010-2011/II
0047001,10,6025,MINERALOGIA,90,2011-06-01,EO,2010-2011/II
0047001,12,6043,MATERIALES DE INGENIERIA I,45,2011-06-01,EO,2010-2011/II
0047001,6,6055,ECOLOGIA I,75,2011-06-01,EO,2010-2011/II
0047001,12,6043,MATERIALES DE INGENIERIA I,60,2011-06-21,ET,2010-2011/II
0047001,1,1003,SEMINARIO INTEGRADOR III,80,2011-12-06,EO,2011-2012/I
0047001,0,1105,ESCRITURA Y REDACCION,AC,2011-12-06,EO,2011-2012/I
0047001,10,6032,OBTENCION DE MATERIALES,70,2011-12-06,EO,2011-2012/I
