carrera,plan,cve_materia,nombre_materia,nivel,creditos,caracter,vigente
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0000,GEOMETRIA Y TRIGONOMETRIA,1,0,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0041,ALGEBRA A,1,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6013,SEMINARIO DE ORIENTACION,1,0,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6012,INTRODUCCION A LOS MATERIALES,1,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6010,ORIGEN DE LOS MATERIALES,1,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0071,QUIMICA A,1,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1005,METODOLOGIA DE LA INVESTIGACION,1,4,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1006,TECNICAS DE COMUNICACION ORAL Y ESCRITA,1,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0061,FISICA A,2,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0042,ALGEBRA B,2,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0051,CALCULO A,2,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6025,MINERALOGIA,2,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6021,QUIMICA DE MATERIALES,2,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1936,INGLES 1,2,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0063,FISICA C,3,6,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0052,CALCULO B,3,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6034,DINAMISMO,3,6,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6032,OBTENCION DE MATERIALES,3,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6031,ANALISIS DE MATERIALES,3,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1012,"ARTE, CULTURA Y HUMANIDADES I",3,2,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1008,TENDENCIAS SOCIALES,3,2,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1937,INGLES 2,3,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6040,INGENIERIA ELECTRICA,4,6,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,0055,CALCULO E,4,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6041,MECANICA DE FLUIDOS,4,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6046,PRINCIPIOS DE ECONOMIA,4,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6043,MATERIALES DE INGENIERIA I,4,12,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1014,"ACTIVIDADES ARTISTICAS, DEPORTIVAS O DE DIVULGACION",4,2,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1009,GESTION Y DESARROLLO SOCIAL,4,2,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1938,INGLES 3,4,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6054,INSTRUMENTACION,5,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6055,ECOLOGIA I,5,6,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6057,COMPUTACION APLICADA,5,4,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6056,FISICOQUIMICA,5,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6052,BENEFICIO DE MATERIALES I,5,12,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6053,MATERIALES DE INGENIERIA II,5,8,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,1939,INGLES 4,5,5,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6065,TERMODINAMICA DE MATERIALES,6,10,obligatoria,true
INGENIERIA,PLAN DE ESTUDIOS JUNIO 2023,6063,BENEFICIO DE MATERIALES II,6,12,obligatoria,true
